SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
2236.00	invitation	EUPB/SREU/TAEUGS	SRAPT	"SRAPT is based on the addition of SRAP for ""invite."""				2391				1 - NGSL	2001-3K	2192	956	5.000		14	3	10
2237.00	transition	TAPBS/EUGS	TRAPB	"TRAPB overwrites ""tran""; I added in TRA*PB for ""Tran."" I also added in TRA*PBS for ""transitions,"" which overwrites ""trance,"" for which I added in TRAPBS, which overwrites ""trans,"" for which I added in TRA*PBZ."		"""Because TOKYO (T-) RAN (ran) the 1964 Olympics, maybe it won't be too difficult for them to transition to running the 2020 Olympics as well,"" an analyst reflects. "	"When a person's body TAPBS (tans), it undergoes a transition in color."	2392				1 - NGSL	2001-3K	2193	957	5.000		9	2	10
2238.00	frighten	TPRAOEUFPB	TPROF			"Stories of drought on Idaho TPRO-s (farms) are quite frighten-ing, as they could indicate a coming FRENCH FRY (-F) shortage. (TPRO is an addition for ""farm."")"	"A student gets frightened by an F on an assignment, and tries to forget about it by FRAOEN (fryin') up some chicken for dinner."	2393				1 - NGSL	2001-3K	2194	958	5.000		10		8
2239.00	bid	PWEUD	PEUD	"I also added in PEUDZ for ""bids,"" along with PEUGD for ""bidding,"" which overwrites a misstroke entry for ""picked."""		"A man bids $1000 for a painting, which makes the auctioneer sneer: ""I could PEUD-le (piddle) on that bid!"""		2394				1 - NGSL	2001-3K	2195	959	4.000		5		3
2240.00	breed	PWRAOED	PWREF			Most breeds of ELEPHANTS (E) do not have PWREF (brief) existences; some can live for 60 to 70 years.		2395				1 - NGSL	2001-3K	2196	95A	5.000		7		5
2241.00	extraordinary	KPRORD	OEURD	"OEURD is similar to OERD for ""ordinary."" I also added in OEURLD for ""extraordinarily."""		"URANIUM (U) can turn an OERD (ordinary) pool of water andinto something truly extraordinary. (OERD is an outline for ""ordinary."")"	"RORD by itself makes ""record."" If you're an extraordinary athlete in your sport, people will have to put KPs (Xs) through all the old RORDs (records) after you break them."	2396				1 - NGSL	2001-3K	2197	95B	5.000		6		13
2242.00	brilliant	PWREULT	PWRUB	"I also added in both PWRUBS and PWRUBT for ""brilliance,"" as well as PWRUBL for ""brilliantly."""		"Picture yourself BRU-ing (breathing) in BRAZIL's (-B) ocean air on a brilliant summer day. (PWRU is an addition for ""breathe."")"		2397				1 - NGSL	2001-3K	2198	95C	5.000		7		9
2243.00	adviser	SROERS	RAERB	"(Note: for advisor, I use the outline RAURB, which is based on the addition of AURB for ""advise."")"		"An economics adviser explains that Soviet RUSSIA (R-)'s economy was not very AERB (efficient). (AERB is an addition for ""efficient."")"	"Obi-Wan Kenobi was an influential adviser for Luke, and would always say: ""may the VOERS (force) be with you."""	2398				1 - NGSL	2001-3K	2199	95D	5.000		6		7
2244.00	stem	STEPL						2399				1 - NGSL	2001-3K	2200	95E	5.000		5		4
2245.00	reverse	RE/SRES	ROEF	"ROEF overwrites one way to write ""rove."" I also added in ROEFG for ""reversing"" and ROEFS for ""reverses."""		It would be hard to ROEF (rove) around in your car if you weren't able to put it in reverse.		2400				1 - NGSL	2001-3K	2201	95F	4.000		6	2	7
2246.00	mode	PHOED						2401				1 - NGSL	2001-3K	2202	960	5.000		5		4
2247.00	mirror	PHROR	PHOER	"PHOER overwrites ""mother,"" for which I added in PHER. I also added in PHOERG for ""mirroring,"" which overwrites one way to write ""morgue,"" and PHOERS for ""mirrors."""		"I don't see the point of buying a mirror that has MOER (more) diamonds than does any other, especially if it puts you in DEBT (OE)."		2402				1 - NGSL	2001-3K	2203	961	5.000		5		6
2248.00	awful	AUFL				 		2403				1 - NGSL	2001-3K	2204	962	4.000		4		5
2249.00	pose	POES	POEF	"POEF fits better with POEFS, POEFD and POEFG for ""poses,"" ""posed,"" and ""posing"" respectively. POEFG overwrites ""posting,"" for which I use POFGT."		"A box of FRENCH FRIES (-F) will pose a risk to anyone's diet, as they smell so good."		2404				1 - NGSL	2001-3K	2205	963	4.000		4		4
2250.00	adjust	SKWR*UFT	KHUF		A/SKWRUFT	A KANGAROO (K-) HUF-s (huffs) and puffs as he gets used to the higher altitudes in Colorado during a ski trip.	"As a fugitive looks up at the STARS (*), he has a powerful experience that makes him adjust his concept of what is JUST (just) and what is unjust. He turns himself in the next day."	2405				1 - NGSL	2001-3K	2206	964	4.000		8		6
2251.00	creative	KRAOEF	KRAF	"KRAF is based on the addition of KRA for ""create."" I also added in KRAFL for ""creatively"" and KRA*FT (which overwrites ""Kraft,"" for which I added in both KRA*EFT and KRA*EUFT) for ""creativity."""			It would be very creative to put coral in your bathtub and turn it into a mini-RAOEF (reef)!	2406				1 - NGSL	2001-3K	2207	965	4.000		6		8
2252.00	sincerely	SEUPBS/HREU	SAOLG	"SAOLG is based on the addition of SAOG for ""sincere."" I also added in SAOGT for ""sincerity."""		"(Story for SAOG for ""sincere"": a young child is sincere that she wants to travel back in time many years AOG (ago), to 1991, and ride on the SPACE SHUTTLE (S-). (AOG is an addition for ""ago."")"	"Imagine being sincerely grateful to someone SEUPBS (since) she saved your life. (SEUPBS is an original outline for ""since,"" though I prefer a two-character addition for it.)"	2407				4- Not in a list	2001-3K		966	5.000		10	2	9
2253.00	nowadays	TPHOU/TKAEUS	TKA*S			"In past DAS (days), people aimed to reach distant coasts, but nowadays, people aim for the STARS (*)."		2408				1 - NGSL	2001-3K	2208	967	5.000		11	2	8
2254.00	poem	POEPL						2409				1 - NGSL	2001-3K	2209	968	5.000		5		4
2255.00	agricultural	AG/K-L	AULGT	"AULGT is based on the addition of AUGT for ""agriculture."""			An AG (attorney general) K-Ls (kills) his law career to pursue the agricultural life.	2410				1 - NGSL	2001-3K	2210	969	5.000		4	2	12
2256.00	competitor	KPOR	KP*ER	"KPER is based on the addition of KPE for ""compete."""		"If your competitor in an KPER (exercise) contest is a PORCUPINE (*), you have a pretty good chance of winning. (KPER is an addition for ""exercise."" Note that KPE is an addition for ""compete."")"	"If your competitors are POR (poor) at your sport, you won't get better. You need to find competitors who are better than you."	2411				1 - NGSL	2001-3K	2211	96A	5.000		4		10
2257.00	alcohol	KHOL						2412				1 - NGSL	2001-3K	2212	96B	4.000		4		7
2258.00	festival	TPEFT/SRAL	STEFL			"LASER (-L) lights from a CEDM music festival STEF (extend) into the clouds. (STEF is an addition for ""extend."")"		2413				1 - NGSL	2001-3K	2213	96C	5.000		9	2	8
2259.00	vegetable	SREBL				"If you don't eat your vegetables, you'll end up all SREBL (feeble)."		2414				1 - NGSL	2001-3K	2214	96D	5.000		5		9
2260.00	van	SRAPB						2415				1 - NGSL	2001-3K	2215	96E	5.000		5		3
2261.00	confident	K-FT				"A chef is so confident in his TACO (-T) sauce that he tells his competitors in a cooking competition that ""you can K-F (kiss) your chances of winning goodbye."" (K-F is an addition for ""kiss."")"		2416				1 - NGSL	2001-3K	2216	96F	3.000		3		9
2262.00	planet	PHRAEPBT	PHRUB	"I also added in PHR*UB for ""Planet"" and PHR*URB for ""planetary."""		"BRAZIL (-B)'s PHRU (blue) ocean views are one of the things that make our PHRU (blue) planet PHRU (blue). (PHRU is an addition for ""blue."")"	"Due to global warming, some scientists believe that our planet will need to be taken to the ACCIDENT AND EMERGENCY ROOM (AE)."	2417				1 - NGSL	2001-3K	2217	970	5.000		8		6
2263.00	curve	KUFB	KOERP	"KOERP allows for ""curved"" to be written as KOERPD, which I find more ergonomic than KUFBD (or KUFRBD). KOERP overwrites one way to write ""corps,"" for which I added in KO*R, which overwrites ""kor."" I also added in KOERPG (which overwrites a misstroke entry for ""category"") for ""curving""; KOERPS (which overwrites one way to write ""corpse"") for ""curves""; and KOERPT for ""curvature."""	KUFRB	"Here's a curve-ball of an interview question: ""How could you KOER (correspond) with your friend using only PINEAPPLE (-P) juice?"" (KOER is an outline for ""correspond."")"	You curve a UFB (USB) cable into a lasso to try to catch a KANGAROO (K-) on a trip to Australia.	2418				1 - NGSL	2001-3K	2218	971	5.000		4		5
2264.00	knee	TPHAOE	TPHAE	"TPHAE overwrites ""anyway,"" for which I added in WRAE. I also added in TPHAES for ""knees,"" which overwrites ""anyways,"" for which I added in WRAEB."		"If you wound your knee, you'll want to visit an ACCIDENT & EMERGENCY DEPARTMENT (AE) as soon as you can."		2419				1 - NGSL	2001-3K	2219	972	5.000		6		4
2265.00	overcome	AUFR/KOPL	KRUL	"I also added in KRULD for ""overcame."""		"A KANGAROO (K-) overcomes a rough start in the World Boxing Championships to get a first-place RUL (result). (RUL is an outline for ""result."")"		2420				1 - NGSL	2001-3K	2220	973	4.000		8	2	8
2266.00	web	WEB						2421				1 - NGSL	2001-3K	2221	974	3.000		3		3
2267.00	depth	TK*EPT	TKUPT	"TKUPT is based on the addition of TKUP for ""deep."" TKUPT overwrites one way to write ""{PLOVER:ADD_TRANSLATION},"" for which I added in P-G, which overwrites ""prognosis,"" for which I added in P*G."				2422				1 - NGSL	2001-3K	2222	975	5.000		6		5
2268.00	entrance	SPWRAPBS	TRERT	"TRERT is based on the addition of TRER for ""enter."" It overwrites {tetra^}, for which I added in TR*ERT."		"SRABT is based on the addition of SRAB for ""enter."""		2423				1 - NGSL	2001-3K	2223	976	5.000		8		8
2269.00	log	HROG		"I also added in HRO*GD for ""logged"" due to my addition of HROGD for ""loading."" (""Loading"" is a more common word than is ""logged."") In addition, I added in HRO*G for ""logging."""				2424				1 - NGSL	2001-3K	2224	977	4.000		4		3
2270.00	giant	SKWRAOEUPBT	KH-PBT	"I also added in KH*PBT for ""gigantic."""		A fan base's KH-NTs (chants) can play a giant role in animating a team.		2425				1 - NGSL	2001-3K	2225	978	5.000		11		5
2271.00	god	TKPWOD	KA*UD	"KA*UD is based on the addition of KAUD (which originally produces ""cawed"") for ""God."""		"(Story for KAUD for ""God"": a pastor goes AUD (ahead) with his message that God does not want people to mistreat KANGAROOS (K-).)"		2426				1 - NGSL	2001-3K	2226	979	5.000		6		3
2272.00	portion	PORGS		"I also added in PORGZ (which overwrites ""pourings"") for ""portions."""				2427				1 - NGSL	2001-3K	2227	97A	5.000		5		7
2273.00	substance	SAUBS		"I also added in SAUBZ for ""substances."""		A mother SAUBS (sobs) upon learning that her child is addicted to a substance.		2428				1 - NGSL	2001-3K	2228	97B	5.000		5		9
2274.00	extensive	EBGS/TEPBS/EUF	ST*EF	"ST*EF (which overwrites ""Steph,"" for which I added in STAO*EF, which overwrites one way to write ""Steve"") is based on the addition of STEF for ""extend."" I also added in ST*EFL for ""extensively."""		"An extensive PORCUPINE (*) burrow lies below the forest. Its tunnels STEF (extend) for miles. (STEF is an addition for ""extend."")"	"A new video game receives extensive acclaim, as demonstrated by all the TEPBS (tens--10.0/10 reviews) it gets from game review websites."	2429				1 - NGSL	2001-3K	2229	97C	5.000		12	3	9
2275.00	interpret	TERP		"I also added in TRERP for ""interpreter."""		I don't understand Maryland's TERP-in (Terrapin) mascot. Can someone interpret that for me?		2430				1 - NGSL	2001-3K	2230	97D	4.000		4		9
2276.00	independence	P*EPBS	AOEPT	"AOEPT (which overwrites one way to write ""event,"" for which I added in SR-PB). It is based on the addition of AOEP for ""independent."""			"You declare independence from PENS (pens)! From now on, you'll write using quill pens crafted out of PORCUPINE (*) needles."	2431				1 - NGSL	2001-3K	2231	97E	5.000		6		12
2277.00	forty	TPOURT	4U	(Typed as #HU)	"TPOUR by itself is ""four,"" so TPOURT just adds a T on the end to get ""forty."""			2432				2 - Sup	2001-3K		97F	3.000		6		5
2277.01	fortieth	TPORT/KWR*ET	4*U	(Typed as #H*U)				2433				5.2 - Sup (no frequency data)	2001-3K		980	4.000		11	2	8
2278.00	sugar	SHURG				"What kid doesn't say ""SHUR!"" (""Sure!"") to the opportunity to eat sugar?"		2434				1 - NGSL	2001-3K	2232	981	5.000		5		5
2279.00	inner	EURPB		EURN		Many countries want to EURPB (earn) a spot in EUROPE's (EU) inner circle: the European Union.		2435				1 - NGSL	2001-3K	2233	982	5.000		5		5
2280.00	harm	HARPL						2436				1 - NGSL	2001-3K	2234	983	5.000		5		4
2281.00	consult	KULT	KOUB	"KOUB overwrites one way to write ""could be."""		You consult with a cattle rancher about the best place to raise KOU-s (cows) in BRAZIL (-B).		2437				1 - NGSL	2001-3K	2235	984	4.000		4		7
2282.00	pink	P*EUPBG	PAOEB			A tourist visits a doctor in BRAZIL (-B) after his PAOE (pee) becomes pink during a trip there.		2438				1 - NGSL	2001-3K	2236	985	5.000		7		4
2283.00	shadow	SHO*EUD	SHAD	"I also added in SHA*D for ""shadowed"" and SHAGD for ""shadowing."" SHAD and SHA*D overwrite ""shad,"" for which I added in SHAO*D."		"SHAD (shad), like most fish, prefer to hide from their enemies in shadow-y parts of rivers and streams."	"Although the OIL (OEU) power plant has hurt the local PORCUPINE (*) population, it has been terrific for the SH(a)D (shad) who live in the river next to it, since the cooling towers cast a pleasant shadow over the water."	2439				1 - NGSL	2001-3K	2237	986	4.000		7		6
2284.00	strip	STREUP	STREP	"STREP overwrites ""strep,"" for which I added in STR*EP. I also added in STREPG for ""stripping,"" which overwrites one way to write ""strength."""		"If a test STREP (strip) says you have STREP (strep) throat, it's probably best for you to stay home."		2440				1 - NGSL	2001-3K	2238	987	5.000		6		5
2285.00	smooth	SPHAO*T	SPHOT	"I also added in SPHOLT for ""smoothly""; SPHORT for ""smoother""; and SPHO*T for ""smoothe."""		"The SPACE SHUTTLE's (S-) MOT (movement) becomes pretty smooth once it leaves the atmosphere and enters space. (MOT is an addition for ""movement."")"		2441				1 - NGSL	2001-3K	2239	988	5.000		7		6
2286.00	intervention	EUPBT/SREPBGS	SREBT	"SREBT is based on the addition of SREB for ""intervene."""				2442				1 - NGSL	2001-3K	2240	989	5.000		12	2	12
2287.00	impress	EUPL/PRES	PREL	"PREL overwrites ""preliminary,"" for which I added in PRAEL."		It would impress me to see an ELEPHANT (E) use PREL (Purell) correctly.		2443				1 - NGSL	2001-3K	2241	98A	4.000		8	2	7
2288.00	exam	KPAPL						2444				1 - NGSL	2001-3K	2242	98B	5.000		5		4
2289.00	vice	SRAOEUS	SRAET			"A man hopes that SRAE (virtual) reality therapy can help him overcome the vice of eating too many TACOS (-T). (SRAE is an addition for ""virtual."")"		2445				1 - NGSL	2001-3K	2243	98C	5.000		7		4
2290.00	radical	RAD/K-L	RAULG	"RAULG overwrites one way to write ""recalling."" I also added in RA*ULG for ""radically"" and RAULGZ for ""radicalize."""		"It would be pretty radical for a military RAUL (general) to try to feed his troops using only GOAT (-G) milk. (RAUL is an addition for ""general."")"		2446				1 - NGSL	2001-3K	2244	98D	5.000		5	2	7
2291.00	similarly	SEUPL/HREU	SHR-RL	"SHR-RL is based on the addition of SHR-R for ""similar."""				2447				1 - NGSL	2001-3K	2245	98E	5.000		9	2	9
2292.00	behave	PWAEUF	HUF	"HUF overwrites ""huff,"" for which I added in H*UF."		HUF-ing (huffing) and puffing and trying to blow somebody's house down is not a very nice way to behave.		2448				1 - NGSL	2001-3K	2246	98F	3.000		6		6
2293.00	loud	HROUD		"I also added in HRO*UFD for ""loudest"" and HROULD for ""loudly."""				2449				1 - NGSL	2001-3K	2247	990	5.000		5		4
2294.00	dimension	TKPHEGS	TKUGS	"TKUGS overwrites a misstroke entry for ""drugs."" I also added in TKULGS for ""dimensional"" and TKUGZ (along with TKUGSZ) for ""dimensions."""		Picture a bored farmer who DUG (dug) a hole in southern SPAIN (-S) in hopes of finding a gateway to a new dimension.	"Our culture encourages us to look at all dimensions of life through the lens of ME (me), and GS (shun) everyone else's perspective."	2450				1 - NGSL	2001-3K	2248	991	5.000		7		9
2295.00	subsequent	SKWEPBT	KWET	"KWET overwrites ""equity,"" for which I added in KWAE."		"A café manager KWE-s (questions) how many subsequent cups of TEA (T) a caffeine-crazed patron will ask for. (KWE is an outline for ""question."")"	"When you find yourself having to SKWEPBT (squint) more and more each subsequent year, it's time to visit an optometrist and get some contact lenses."	2451				1 - NGSL	2001-3K	2249	992	4.000		7		10
2296.00	infection	TPHEGS	TPEBT	"TPEBT is based on the addition of TPEB for ""infect."""			"What part of the U.S. is most vulnerable to flu infections? Probably the NE (northeast), given how cold it is. Hence, this brief is NESHUN."	2452				1 - NGSL	2001-3K	2250	993	5.000		6		9
2297.00	jacket	SKWRABGT	KHABG	"I also added in KHA*BG for ""jacketing,"" which overwrites ""chargeback,"" for which I added in KHA*UBG (which is is based on the addition of KHAU for ""charge."")"		"KHAK-eta (chaqueta) means ""jacket"" in Spanish."		2453				1 - NGSL	2001-3K	2251	994	5.000		8		6
2298.00	efficiency	AOERB	AERBT	"AERBT is based on the addition of AERB for ""efficient."""			Three roommates in San Francisco are forced to share an efficiency apartment due to high rent prices. There's barely enough room for AOESH (each) of them to stand inside.	2454				1 - NGSL	2001-3K	2252	995	5.000		5		10
2299.00	dirty	TKOEURT	TK*EU	"TK*EU, which overwrites ""di,"" is based on the addition of TKEU for ""dirt."""		"Of course PORCUPINES (*) get dirty—they spend all of the day walking around in the TKEU (dirt). (TKEU is an addition for ""dirt."")"	OIL (OEU)-field workers get pretty dirty during the day. It's not easy to get all the TK(i)RT off your arms and legs after you come home.	2455				1 - NGSL	2001-3K	2253	996	5.000		7		5
2300.00	statistic	ST*EUBG	SEUL	"SEUL overwrites ""sill,"" for which I added in S*EUL, which overwrites ""Zill."""		One in a thousand people who sit on a  window-SEUL (sill) will suffer a painful fall.	"You're trying to study for an exam, but it seems that no statistic you look at will STEUBG in your head. All you can think about are cute baby PORCUPINES (*) from a Youtube video you watched."	2456				1 - NGSL	2001-3K	2254	997	4.000		7		9
